unix,low,high,open,close,volume,date,vol_fiat
1614729600,40.1601,44.3287,40.541,42.643,140644.572,2021-03-03,5997506.483796
1614643200,38.8,43.1,41.7405,40.4955,157519.462,2021-03-02,6378829.373421
1614556800,39.2956,44.2932,39.4856,41.7286,130238.242,2021-03-01,5434659.5051212
1614470400,36.6351,43.18,40.3246,39.5072,176688.789,2021-02-28,6980479.324780799
1614384000,38.0512,47.3699,39.7153,40.3453,335084.71,2021-02-27,13519093.150363002
1614297600,32.2,41.656,36.5753,39.632,263784.013,2021-02-26,10454288.003215998
1614211200,34.8676,39.8699,38.4274,36.5646,113172.375,2021-02-25,4138102.622925
1614124800,36.021,41.0,36.8409,38.34,198162.721,2021-02-24,7597558.72314
1614038400,31.7704,45.54,44.2867,36.9523,524851.173,2021-02-23,19394458.0000479
1613952000,33.7016,55.0,41.2227,44.3,764934.16,2021-02-22,33886583.288
1613865600,37.97,41.99,40.0846,41.3397,82728.705,2021-02-21,3419979.8460885
1613779200,39.5,43.6722,41.7396,40.1375,115668.217,2021-02-20,4642633.059837501
1613692800,40.5124,43.1,41.8259,41.7356,88668.445,2021-02-19,3700630.753142
1613606400,41.3816,44.5499,42.609,41.768,141218.064,2021-02-18,5898396.097152
1613520000,39.9998,43.3,42.9665,42.574,123463.921,2021-02-17,5256352.972654
1613433600,40.0,51.0,41.273,42.9506,283721.219,2021-02-16,12185996.5887814
1613347200,35.5706,46.21,44.1258,41.2728,226844.762,2021-02-15,9362518.4930736
1613260800,41.0,51.0,48.7601,44.1,239470.723,2021-02-14,10560658.884300001
1613174400,43.2644,55.0,43.523,48.6674,396934.301,2021-02-13,19317760.4004874
1613088000,40.1,47.0,42.6058,43.5555,220508.087,2021-02-12,9604339.9833285
1613001600,39.5,46.0,42.2151,42.6019,193940.474,2021-02-11,8262232.6793006
1612915200,34.0,49.0,38.0157,42.2076,486930.873,2021-02-10,20552183.515234802
1612828800,35.2289,39.5,35.2289,37.9256,142095.011,2021-02-09,5389038.5491816
1612742400,33.6853,37.2153,34.6498,35.2196,122574.615,2021-02-08,4317028.910454
1612656000,32.5,40.5,32.7899,34.6469,244632.12,2021-02-07,8475744.598428
1612569600,31.5,35.3265,34.4999,32.79,90194.796,2021-02-06,2957487.36084
1612483200,32.25,36.362,32.5602,34.5,229214.279,2021-02-05,7907892.6255
1612396800,27.0,38.78,29.8047,32.5601,419251.022,2021-02-04,13650855.2014222
1612310400,27.15,30.3,27.5559,29.8591,101114.752,2021-02-03,3019195.4914432
1612224000,25.7363,28.1706,28.0343,27.5584,114417.263,2021-02-02,3153156.7006592
1612137600,26.3911,28.1706,26.9763,28.04,66674.405,2021-02-01,1869550.3162
1612051200,26.2559,27.983,26.48,26.9334,96134.936,2021-01-31,2589240.6852623997
